window_start,window_end,window_number,nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,lf_power,hf_power,lf_hf_ratio,lf_norm,hf_norm,ln_hf,lf_peak,hf_peak,n_samples,sd1,sd2,sd1_sd2_ratio,dfa,subject,condition,label
58.804673,88.80467300000001,1,40,726.1802461268765,636.9799999999941,782.5759999999917,36.98522368353064,41.76354460164647,41.22550343724547,35.8974358974359,25.64102564102564,4.0,198.97261381210816,290.4152724165373,0.685131371213582,40.65744563999011,59.34255436000989,5.671311872533822,0.06896551724137931,0.20689655172413793,116,29.53128559421105,38.67231158524554,0.7636286630840546,1.3138787579901983,hilmi,kognitif,truth
59.804673,89.80467300000001,2,41,725.9699134700558,636.9799999999941,782.5759999999917,36.4704497535621,41.21874782457952,40.70051536079921,35.0,25.0,3.4166666666666665,199.2914823179904,295.6987702504968,0.6739679104825617,40.26169834332571,59.738301656674274,5.689341268075678,0.06666666666666667,0.2,120,29.146056098778438,38.11074711788713,0.7647726245990819,0.869854908531664,hilmi,kognitif,truth
60.804673,90.80467300000001,3,40,725.7020500000012,636.9799999999941,782.5759999999917,36.90580308406077,41.75244766414584,41.21368383226029,35.8974358974359,25.64102564102564,3.076923076923077,174.5171902893928,252.14731134937983,0.6921239388017058,40.902674025865984,59.09732597413401,5.530013485564358,0.13793103448275862,0.20689655172413793,117,29.523438874453948,38.57503455341673,0.7653509378863007,0.8330663034487312,hilmi,kognitif,truth
61.804673,91.80467300000001,4,40,725.702050000001,636.9799999999941,782.5759999999917,36.90580308406076,40.002864040631984,39.530771156862855,33.33333333333333,23.076923076923077,3.076923076923077,158.20431097735533,210.84165941613776,0.7503465463867736,42.86845641714253,57.13154358285746,5.351107422455644,0.13793103448275862,0.20689655172413793,117,28.286296430014367,38.22582583739876,0.7399786874542834,0.9397492040774132,hilmi,kognitif,truth
62.804673,92.80467300000001,5,41,725.7575365853669,636.9799999999941,782.5759999999917,35.755131001785664,39.958121431804344,39.455483543480376,35.0,22.5,3.1538461538461537,136.9866245569362,141.11797128863066,0.9707241629540964,49.257231488905596,50.742768511094404,4.949596216365967,0.13333333333333333,0.2,120,28.254658627904366,35.78715506653854,0.7895195517880895,0.899212951171713,hilmi,kognitif,truth
63.804673,93.80467300000001,6,40,726.6120000000012,636.9799999999941,782.5759999999917,35.30631956434245,39.93573348211178,39.423174255237946,35.8974358974359,20.51282051282051,3.3333333333333335,156.37022412299635,91.6030323972924,1.7070420053869126,63.05930982932525,36.940690170674756,4.517464375906068,0.06896551724137931,0.20689655172413793,117,28.238827956859893,36.808050574343,0.7671916202088608,1.2830652175910875,hilmi,kognitif,truth
64.804673,94.804673,7,41,726.6452926829276,636.9799999999941,782.5759999999917,35.099550149712314,39.744985450512125,39.245028624653656,37.5,20.0,3.727272727272727,189.69791437526504,90.02759626722407,2.107108511618981,67.81573619780202,32.184263802197975,4.5001162485217465,0.06666666666666667,0.26666666666666666,120,28.103948730217795,36.36394947008474,0.7728519354955616,1.581488966505527,hilmi,kognitif,truth
65.804673,95.804673,8,40,726.6120250000007,636.9799999999941,782.5759999999917,35.064934115691926,39.59850761485569,39.09867860217015,38.46153846153847,17.94871794871795,3.6363636363636362,188.3712481418828,120.50441764637267,1.5631895645076628,60.986108329756725,39.01389167024328,4.791686413224461,0.06896551724137931,0.3448275862068966,117,28.0003732593316,35.54782238645213,0.7876818150752044,0.9889186251842854,hilmi,kognitif,truth
66.804673,96.804673,9,40,726.6120000000008,636.9799999999941,782.5759999999917,35.06497304236133,40.04751127953033,39.53074754850319,41.02564102564102,17.94871794871795,3.6363636363636362,194.30101438470655,142.47273573081185,1.3637768193896347,57.69482161779486,42.30517838220514,4.9591506531983,0.06896551724137931,0.3448275862068966,117,28.31786679540065,34.17587962713133,0.8285921856103403,1.0257080343256295,hilmi,kognitif,truth
67.804673,97.804673,10,40,724.792075000001,636.9789999999966,782.5759999999917,37.294984800934316,39.94697698459492,39.53079476910191,41.02564102564102,17.94871794871795,4.0,137.1074429028945,166.09465941815023,0.8254777328976051,45.21981933941825,54.78018066058175,5.1125578632916815,0.13793103448275862,0.20689655172413793,116,28.24677831371001,37.91762305411895,0.7449511872986879,0.9865649963950096,hilmi,kognitif,truth
68.804673,98.804673,11,40,721.6071750000008,618.7809999999985,782.5759999999917,40.70563787757023,39.868564740695945,39.530782964930594,41.02564102564102,17.94871794871795,4.0,111.71010376278592,161.09578671459622,0.6934390156379201,40.94856733749582,59.051432662504176,5.081999136610611,0.13793103448275862,0.20689655172413793,116,28.19133248432099,43.29239442210354,0.6511844138130533,0.8990754496029134,hilmi,kognitif,truth
