window_start,window_end,window_number,nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,lf_power,hf_power,lf_hf_ratio,lf_norm,hf_norm,ln_hf,lf_peak,hf_peak,n_samples,sd1,sd2,sd1_sd2_ratio,dfa,subject,condition,label
0.0,30.0,1,47,603.2449353481308,545.8679999999987,746.0189999999986,46.80856643614073,44.78667980091599,44.32544196600824,43.47826086956522,21.73913043478261,5.875,516.0955473526299,792.3923338482973,0.6513131504518516,39.44213429618917,60.55786570381083,6.675056640179284,0.13333333333333333,0.2,120,31.66896499405827,53.890289188744234,0.5876562451379977,1.0616187335280902,desta,kognitif,truth
5.0,35.0,2,46,614.899010144019,545.8679999999987,746.0189999999986,51.47954257099141,48.487236773127414,48.13092458759833,48.888888888888886,24.444444444444443,6.571428571428571,521.1301107450203,906.3670899501419,0.5749658350610314,36.506559206647864,63.49344079335214,6.809444400526539,0.13559322033898305,0.2033898305084746,119,34.28565392327613,56.37068970038654,0.6082177476540797,1.0729847284228469,desta,kognitif,truth
10.0,40.0,3,43,630.526771860634,545.8679999999987,746.0189999999986,51.8413232617213,50.82364784897254,50.23339012044873,59.523809523809526,26.190476190476193,6.142857142857143,369.44844588775754,631.1639151308113,0.5853446894396487,36.92223485143429,63.07776514856571,6.447565599220051,0.14035087719298245,0.2807017543859649,115,35.93774603864557,59.02989370395957,0.6088058741707502,1.1560626064978112,desta,kognitif,truth
14.999999999999998,45.0,4,44,623.7908797581778,527.671000000005,746.0179999999993,51.971098350457105,47.288582606207136,46.75737290177274,58.139534883720934,25.581395348837212,5.5,569.4483123288935,523.7690124800075,1.087212681087409,52.089214047941965,47.91078595205802,6.261050771255312,0.06779661016949153,0.2711864406779661,119,33.43807743354929,61.70363691343762,0.5419142064585054,1.404831945370677,desta,kognitif,truth
20.0,50.0,5,43,629.0640507040395,527.671000000005,746.0179999999993,50.8613327870208,44.122079899804945,43.59580542362626,54.761904761904766,23.809523809523807,6.142857142857143,633.8007720501531,482.32461238869803,1.3140543853055187,56.78580389682706,43.21419610317294,6.178617357057755,0.06779661016949153,0.2711864406779661,118,31.199021897206745,60.778429310884206,0.5133239251317675,1.3759934903246094,desta,kognitif,truth
25.0,55.0,6,42,638.0495994596874,527.671000000005,746.019000000004,52.32856485591405,44.23990924047376,43.699321381619065,60.97560975609756,24.390243902439025,5.25,434.76549936681863,319.744727267931,1.3597268767547357,57.62221425492805,42.37778574507195,5.767522950152326,0.13559322033898305,0.2033898305084746,119,31.282339823016397,64.32855713193233,0.48629008977861904,1.4017647096903934,desta,kognitif,truth
30.0,60.0,7,40,632.1171583098244,527.671000000005,746.019000000004,54.54666799237108,41.65100709414289,41.17872651972704,69.23076923076923,25.64102564102564,5.714285714285714,613.7953346283211,446.4645376508287,1.3747907904577152,57.891027537324206,42.10897246267578,6.101359974207913,0.06896551724137931,0.20689655172413793,117,29.451709559517436,68.32119828454033,0.4310771810069635,1.3549097727563821,desta,kognitif,truth
35.0,65.0,8,41,628.2243205580444,527.671000000005,746.019000000004,51.372886689569874,39.57939595354191,39.15864106277251,62.5,22.5,6.833333333333333,610.6425791493962,421.9250251288089,1.4472774611152157,59.138266261631664,40.86173373836832,6.044827632680072,0.13793103448275862,0.20689655172413793,117,27.986859274016886,63.47986882101895,0.4408777112146473,1.5452239249980069,desta,kognitif,truth
40.0,70.0,9,43,621.8347697487977,527.671000000005,746.019000000004,50.62814827902143,41.24138132881365,40.89126682042488,57.14285714285714,21.428571428571427,5.375,521.2195743347544,545.6557359633545,0.9552168885653551,48.85477893279899,51.14522106720101,6.301988256669803,0.14035087719298245,0.21052631578947367,115,29.162060403104398,60.843686611614146,0.47929476379785635,1.2471618318892055,desta,kognitif,truth
45.0,75.0,10,43,634.8525596277195,545.8670000000012,746.019000000004,50.60569254402872,44.41995255779432,43.90719807533689,57.14285714285714,21.428571428571427,4.777777777777778,636.186772503051,679.156280094171,0.9367310457835095,48.36660453308077,51.63339546691923,6.52085126321709,0.13793103448275862,0.20689655172413793,117,31.40964967360109,61.05097993150047,0.5144823180372025,1.212774651388651,desta,kognitif,truth
50.0,80.0,11,43,630.5280846186429,545.8670000000012,746.019000000004,50.4755043207173,42.829920561686826,42.31814169815328,57.14285714285714,19.047619047619047,4.3,472.3456140273132,860.58090466405,0.5488683416833489,35.436733188492,64.56326681150802,6.757607631759599,0.13793103448275862,0.20689655172413793,116,30.2853272668499,61.43790627461273,0.4929420467468689,1.4098056269996375,desta,kognitif,truth
55.0,85.0,12,44,627.0610996711683,545.8670000000012,746.019000000004,48.84244938089291,42.01183268719976,41.52907342184072,51.162790697674424,23.25581395348837,4.4,372.92680540175365,1128.048079736882,0.3305947788047643,24.845639263798123,75.15436073620188,7.028244055029847,0.06779661016949153,0.2033898305084746,118,29.706851783193603,59.51003647526832,0.4991906162843544,1.3685402193788023,desta,kognitif,truth
60.0,90.0,13,45,636.5281941784554,564.0630000000044,746.019000000004,47.388154018269304,40.861838581112465,40.39483292541279,45.45454545454545,22.727272727272727,5.625,402.5398905637911,762.3605369219695,0.5280177436637078,34.55573378341057,65.44426621658943,6.636419589355466,0.13793103448275862,0.20689655172413793,117,28.89368315245472,57.27436427403765,0.5044784611525084,0.9560313492747352,desta,kognitif,truth
