window_start,window_end,window_number,nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,lf_power,hf_power,lf_hf_ratio,lf_norm,hf_norm,ln_hf,lf_peak,hf_peak,n_samples,sd1,sd2,sd1_sd2_ratio,dfa,subject,condition,label
0.0,30.0,1,45,635.5299919471737,564.1159999999985,691.4970000000001,30.06772037672022,40.76321601021812,40.29945753597226,36.36363636363637,25.0,6.428571428571429,49.323125134894056,75.68204117078633,0.6517150485356233,39.45686933792972,60.54313066207029,4.326540895452668,0.13333333333333333,0.2,120,28.82394646379728,22.26050084533529,1.2948471673689843,0.708937465931971,esty,sosial,lie
5.0,35.0,2,42,623.2957084736977,556.3762749812771,691.4970000000001,31.477688794827063,42.39766545041588,41.946599342030886,43.90243902439025,26.82926829268293,6.0,55.76861884689678,54.71943643948977,1.0191738525773602,50.474794494611885,49.52520550538811,4.002218974275327,0.14035087719298245,0.2807017543859649,114,29.979676746467664,23.290933621727348,1.287182267287929,0.7324978270779934,esty,sosial,lie
10.0,40.0,3,41,621.317379723285,545.9180000000003,691.4970000000001,32.04311695893662,35.39056606053814,34.96082049893464,45.0,22.5,5.125,98.61611670311079,85.68303459436203,1.1509409904770083,53.508719931073855,46.49128006892615,4.450654843280296,0.13793103448275862,0.20689655172413793,117,25.024909251437,31.872010420045367,0.7851688337707746,0.7460777340993147,esty,sosial,lie
15.0,45.0,4,41,624.0270986975733,545.9180000000003,691.4960000000008,34.55367851940202,34.01210019014206,33.611976974901076,42.5,20.0,5.857142857142857,195.6788779136675,143.64495037220695,1.3622398657706543,57.667296429536755,42.332703570463245,4.967344632508151,0.06666666666666667,0.2,120,24.05018668684571,39.26336358222776,0.6125350579422041,1.1997850173018054,esty,sosial,lie
20.0,50.0,5,41,619.8387437787418,545.9180000000003,691.4960000000008,36.315440174854395,35.95497159872339,35.51631694965116,40.0,20.0,5.125,309.53485003893707,212.8564238672597,1.454195482641235,59.25344956939666,40.74655043060334,5.360617872073666,0.06779661016949153,0.2711864406779661,118,25.42400423482703,41.4158486672928,0.6138713814382136,1.2839347614374435,esty,sosial,lie
25.0,55.0,6,42,619.4026140580331,545.9180000000003,691.4960000000008,38.653844239604474,40.2195195407678,39.7484231178402,53.65853658536586,26.82926829268293,6.0,406.5370433012372,162.1847501813529,2.5066292783177992,71.48258567898229,28.51741432101771,5.088736118650638,0.07017543859649122,0.21052631578947367,115,28.439495003341765,42.5034990275872,0.6691095004880164,0.9740569457038392,esty,sosial,lie
30.0,60.0,7,42,614.0585828293716,545.9180000000003,691.4960000000008,38.59797545213922,40.5021059071972,40.00759064499217,53.65853658536586,24.390243902439025,7.0,180.25304736188127,245.38880482936892,0.7345610061030299,42.34852527633716,57.65147472366283,5.5028439111439615,0.07017543859649122,0.21052631578947367,115,28.639313739314865,42.54246491609368,0.6731935677869174,0.9626760417418402,esty,sosial,lie
35.0,65.0,8,44,615.7921973096697,545.9180000000003,691.4960000000008,39.42604197443567,40.557205285493296,40.188596164486476,53.48837209302325,25.581395348837212,6.285714285714286,185.90912781004747,282.4730907487139,0.6581480994075678,39.69175610084012,60.30824389915988,5.643583292062693,0.13793103448275862,0.27586206896551724,117,28.678274883347196,41.89768572493962,0.684483507552696,0.9732750804200722,esty,sosial,lie
40.0,70.0,9,47,616.5231521358862,545.9180000000003,691.4960000000008,40.41893354642377,40.32662716081923,39.97439519894716,47.82608695652174,23.91304347826087,5.875,211.0679123128577,335.926776111261,0.6283152380891206,38.586830325709435,61.41316967429056,5.8168932079731,0.06779661016949153,0.2711864406779661,119,28.515231527796885,44.11861357269259,0.6463310883696154,1.397501663908733,esty,sosial,lie
45.0,75.0,10,45,605.1343982967671,545.9180000000003,673.2990000000001,39.367227081976374,40.106284859709156,39.65006941213501,45.45454545454545,22.727272727272727,7.5,383.834738375394,254.93748830711695,1.5056033576081902,60.089453226364434,39.910546773635566,5.5410183712120915,0.06896551724137931,0.27586206896551724,116,28.359425992499705,44.1854874702533,0.6418267086357694,1.1499406231180171,esty,sosial,lie
50.0,80.0,11,46,607.846843515418,545.9180000000003,673.2990000000001,38.70806573213461,34.5657798500272,34.18002736065057,40.0,15.555555555555555,6.571428571428571,523.298686358965,198.30372635061207,2.638874699882057,72.5189768135624,27.481023186437607,5.289799826829839,0.06896551724137931,0.27586206896551724,117,24.441697328955556,45.6188105475677,0.5357811182619433,1.6004353373768943,esty,sosial,lie
55.0,85.0,12,45,611.0008744428005,545.9180000000003,673.2990000000001,38.331549261107,30.18166570338298,29.837145049790642,27.27272727272727,11.363636363636363,7.5,540.7560000089793,126.13195086020723,4.287224579665008,81.08648526400673,18.91351473599328,4.837328588038929,0.06779661016949153,0.2033898305084746,118,21.341660486367555,48.19057172920103,0.442859665709996,1.5361321417124296,esty,sosial,lie
60.0,90.0,13,45,605.6227524703132,509.523999999999,673.2990000000001,41.03155893694792,27.808956584233396,27.555713879648476,20.454545454545457,11.363636363636363,7.5,342.33446036402665,70.99641490392145,4.821855594078991,82.82334585871503,17.176654141284978,4.262629381455469,0.06779661016949153,0.3389830508474576,119,19.663901778433726,51.39774891768083,0.38258293782335945,2.050614222847218,esty,sosial,lie
65.0,95.0,14,41,567.268366816478,51.34997958484803,673.2990000000001,129.22223114941514,43.66776184861106,45.78710081793662,27.500000000000004,20.0,8.2,925.2248349060155,88.68983817606312,10.432140298523269,91.25273156305495,8.747268436945037,4.48514531878486,0.06896551724137931,0.20689655172413793,117,30.877770522392087,159.88586291998715,0.19312383195407637,2.119170990367276,esty,sosial,lie
