window_start,window_end,window_number,nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,lf_power,hf_power,lf_hf_ratio,lf_norm,hf_norm,ln_hf,lf_peak,hf_peak,n_samples,sd1,sd2,sd1_sd2_ratio,dfa,subject,condition,label
0.0,30.0,1,41,735.630456818221,639.1220000000004,839.9880000000004,58.38396477591438,46.834377862919496,46.247496052620846,42.5,27.500000000000004,6.833333333333333,652.1090287800673,576.9073069937681,1.13035321424194,53.059427267048875,46.94057273295113,6.3576816071451345,0.13559322033898305,0.2033898305084746,119,33.1169061795235,70.93177744946172,0.4668839181863024,1.3204949366510028,irsyad,kognitif,lie
5.0,35.0,2,40,727.5433182386765,639.1220000000004,839.9879999999999,51.585510166505635,48.08239872013649,47.47119132762281,46.15384615384615,30.76923076923077,6.666666666666667,477.56860917702375,513.3091988268311,0.9303722011382369,48.19651881588671,51.80348118411329,6.240878390361906,0.07017543859649122,0.21052631578947367,115,33.99939019072389,59.420222231326285,0.572185510487698,1.4227060334295545,irsyad,kognitif,lie
10.0,40.0,3,40,732.1084682386766,639.1220000000004,821.7280000000003,47.858849863741085,40.24365111428754,39.729097451740664,43.58974358974359,25.64102564102564,6.666666666666667,505.8421524008199,304.74724225961074,1.659874421340616,62.40424014093172,37.59575985906828,5.7194827191313005,0.06896551724137931,0.27586206896551724,116,28.45655860261828,57.34711159756505,0.4962160745307099,1.5287486259277243,irsyad,kognitif,lie
15.0,45.0,4,39,740.7251538461536,639.1220000000004,858.2480000000032,54.26597659799026,35.12076921306495,34.92439292883105,42.10526315789473,23.684210526315788,6.5,512.6772541898732,296.5724101173185,1.728674808243517,63.35217384721219,36.6478261527878,5.692291404869127,0.14035087719298245,0.21052631578947367,115,24.834134071045952,68.76139061234385,0.3611639300760128,0.9356069871934645,irsyad,kognitif,lie
20.0,50.0,5,40,763.7499249999998,657.3819999999984,858.2480000000032,48.20447936968035,38.517948989183374,38.12457071031951,51.28205128205128,28.205128205128204,5.0,358.2742971052669,398.3276505088826,0.8994462138080407,47.35307624240732,52.64692375759268,5.987274909090837,0.13333333333333333,0.2,120,27.23630292764909,58.608570949005276,0.4647153562462241,1.2348573550052082,irsyad,kognitif,lie
25.0,55.0,6,39,762.7315384615385,657.3819999999984,858.2480000000032,50.87184664782998,38.43205201376326,37.93517271540164,52.63157894736842,26.31578947368421,4.875,314.80680468409145,252.14364598216372,1.2485216649336484,55.52633467600994,44.47366532399006,5.529998948848349,0.06896551724137931,0.20689655172413793,116,27.17556459384611,64.27757730204284,0.42278451887113094,1.868643388840119,irsyad,kognitif,lie
30.0,60.0,7,38,774.153631578947,675.6419999999963,858.2480000000032,48.320282306551924,38.241971595315384,37.73456022004118,43.24324324324324,24.324324324324326,5.428571428571429,259.0030467112973,329.4902787321135,0.7860718917351591,44.01121227945055,55.98878772054944,5.797546850418152,0.07017543859649122,0.21052631578947367,114,27.041157440990844,60.28702641546001,0.4485402423838308,1.4017237031972505,irsyad,kognitif,lie
35.0,65.0,8,37,774.348432432432,675.6419999999963,858.2480000000032,49.72250697651888,41.49714811654236,40.94502701794087,47.22222222222222,27.77777777777778,6.166666666666667,456.4024484615066,275.0243593596739,1.6594982696228315,62.398922705754586,37.60107729424541,5.616859673233363,0.06779661016949153,0.2711864406779661,119,29.34291483310967,61.10895067558103,0.4801737635602213,1.538819070569572,irsyad,kognitif,lie
40.0,70.0,9,37,779.6904722321563,675.6419999999963,858.2480000000032,45.752117886828714,39.88432284980149,39.33053565044526,50.0,27.77777777777778,5.285714285714286,716.0048098201503,356.01047672678163,2.0111902784525197,66.79054103104006,33.20945896895993,5.874960159426819,0.06896551724137931,0.20689655172413793,117,28.202475150128205,55.72881846756258,0.5060662674293676,1.3042228418164257,irsyad,kognitif,lie
45.0,75.0,10,38,772.3174615706203,675.6419999999963,858.2479999999962,43.29924728545969,36.50644999497988,36.03788823079492,40.54054054054054,21.62162162162162,5.428571428571429,1328.5068198578138,435.09422948196067,3.053377245291401,75.32921464041749,24.670785359582514,6.0755626271288286,0.06779661016949153,0.2033898305084746,118,25.813958348497877,53.0409939894968,0.48667938526207805,1.8579242519873918,irsyad,kognitif,lie
50.0,80.0,11,39,758.0936169632818,675.6419999999963,839.9879999999982,43.68870248197513,40.48039581216911,39.96824818548593,42.10526315789473,26.31578947368421,6.5,373.5446520533362,237.22642200315576,1.5746334194104528,61.159519158693165,38.840480841306835,5.46901505216436,0.06896551724137931,0.20689655172413793,117,28.623962383900295,51.34347045653998,0.5574995638078115,1.586613614320853,irsyad,kognitif,lie
55.0,85.0,12,40,760.7559981589159,693.9029999999917,839.9879999999982,39.40443981922279,38.34305004328133,37.89603439518451,41.02564102564102,23.076923076923077,6.666666666666667,212.113228304831,464.41806780528725,0.45672906161299903,31.353054843793295,68.6469451562067,6.140785154763069,0.13559322033898305,0.2033898305084746,119,27.112630696979377,44.73962177974322,0.606009385382314,0.943228529489492,irsyad,kognitif,lie
60.0,90.0,13,41,738.0386133315989,616.485733878676,821.7280000000073,46.75897710657974,36.603451125426396,36.505407876897074,40.0,22.5,10.25,95.84129595884646,299.1616516157302,0.3203662482849023,24.26343817111684,75.73656182888317,5.700984068152358,0.07142857142857142,0.2857142857142857,113,25.882548505619372,53.922859400388546,0.4799921367937115,1.190256247339858,irsyad,kognitif,lie
65.0,95.0,14,42,715.3119296263699,590.7488053940142,821.7280000000073,63.49872710761222,30.817677428505657,30.87852066201882,29.268292682926827,17.073170731707318,21.0,51.552277411919775,264.92409005825743,0.1945926374629929,16.289455615284684,83.71054438471532,5.579443332340487,0.06896551724137931,0.27586206896551724,117,21.791388690115955,83.40924648609071,0.26125866865072184,1.1738638754618027,irsyad,kognitif,lie
