window_start,window_end,window_number,nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,lf_power,hf_power,lf_hf_ratio,lf_norm,hf_norm,ln_hf,lf_peak,hf_peak,n_samples,sd1,sd2,sd1_sd2_ratio,dfa,subject,condition,label
0.0,30.0,1,38,802.9243524009295,675.457999999999,1004.0590000000016,87.85806363030656,56.23333558056686,55.608484768834835,62.16216216216216,32.432432432432435,9.5,1806.6087532284437,1052.0296846912684,1.7172602441903684,63.198225045317336,36.801774954682664,6.95847661028669,0.13559322033898305,0.2033898305084746,119,39.76297291775759,114.52645541644284,0.34719465273914973,1.4908697578295742,nathan,emosi,truth
5.0,35.0,2,39,779.0598818265465,657.2019999999981,1004.0590000000016,89.50906508210163,56.75609438627225,56.136042568729415,63.1578947368421,34.21052631578947,7.8,1650.219198348353,1085.3436358980193,1.520457801351507,60.324668024047654,39.675331975952346,6.989651930944298,0.13559322033898305,0.2033898305084746,119,40.13261921419685,117.23101293673429,0.34233790367276873,1.6178041830482768,nathan,emosi,truth
10.0,40.0,3,40,771.3564368841777,657.2019999999981,1004.0590000000016,86.68985834350892,55.171614114693945,54.73600639804872,64.1025641025641,30.76923076923077,8.0,1372.2950669735546,1172.4809972544756,1.1704198790317037,53.92596567784235,46.07403432215767,7.066877293156669,0.13559322033898305,0.2033898305084746,119,39.01222246950753,111.240130729218,0.35070277438338804,0.9524606467071959,nathan,emosi,truth
15.000000000000002,45.0,4,40,764.0807607507053,657.2019999999981,1004.0590000000016,81.82526069317534,59.05419437939309,58.299689943676505,66.66666666666666,28.205128205128204,6.666666666666667,977.0403332799802,404.7253534749503,2.414082352121418,70.70955246938823,29.290447530611768,6.003208697497873,0.13559322033898305,0.2033898305084746,119,41.75762130317735,105.00853165958712,0.39765932008787347,1.7829498647680286,nathan,emosi,truth
20.0,50.0,5,40,752.5212509698224,657.2019999999981,931.036000000006,59.32090652092199,43.72735584586119,43.203700522314264,53.84615384615385,17.94871794871795,5.0,880.6012725078606,849.6064584605081,1.0364813776292559,50.89569632283417,49.10430367716583,6.744773252224916,0.13793103448275862,0.20689655172413793,117,30.91990984196567,75.43400766446628,0.40989350558568705,1.2453130373004795,nathan,emosi,truth
25.0,55.0,6,40,743.3934259698224,657.2019999999981,931.036000000006,61.084837871258486,45.57071362894331,45.043526070318705,51.28205128205128,15.384615384615385,5.714285714285714,529.0878437357208,734.420605290482,0.7204153041518397,41.874499861357755,58.12550013864225,6.59908189622543,0.13793103448275862,0.20689655172413793,116,32.223360630536035,77.31907443751452,0.41675823029383746,0.8150691676880675,nathan,emosi,truth
30.0,60.0,7,39,772.2587449306659,657.2019999999981,949.2919999999998,76.84177700350995,54.89417845806934,54.30136347001174,57.89473684210527,23.684210526315788,5.571428571428571,925.4935524538326,837.0617341140302,1.1056455154211549,52.508625375150686,47.49137462484932,6.729897824178243,0.13559322033898305,0.2033898305084746,118,38.81604583536533,97.34648279887263,0.39874112263062533,1.9521185843474536,nathan,emosi,truth
35.0,65.0,8,38,786.0324191837859,657.2019999999981,949.2919999999998,73.68064738293394,54.91812680609245,54.17989353066159,64.86486486486487,21.62162162162162,6.333333333333333,2282.4797524074543,979.9399402656168,2.329203718126622,69.9627873609756,30.037212639024403,6.88749128434334,0.13793103448275862,0.20689655172413793,117,38.83297987465069,93.27677428976152,0.416319927123736,1.750882784562642,nathan,emosi,truth
40.0,70.0,9,38,779.8850748645281,657.2019999999981,949.2919999999998,74.95585997376476,53.314630720983374,52.62624676878438,51.35135135135135,21.62162162162162,6.333333333333333,1395.7664032419775,586.6257148094097,2.3793133645623623,70.40818970839939,29.591810291600613,6.374386992625512,0.13793103448275862,0.20689655172413793,117,37.69913691926398,95.27757183099995,0.39567692789372716,1.0561590446855804,nathan,emosi,truth
45.0,75.0,10,39,759.3926638510503,657.2019999999981,949.2919999999998,73.37083940192791,43.13006052852631,42.656278416367485,42.10526315789473,15.789473684210526,5.571428571428571,1288.3305985477737,579.7682984349134,2.222147368225594,68.96479627650642,31.035203723493577,6.362628538267846,0.13793103448275862,0.20689655172413793,116,30.4975582727072,96.8051243025841,0.31504074285758754,2.08904937004798,nathan,emosi,truth
